title,description
Sorcerer,Four unfortunate men from different parts of the globe agree to risk their lives transporting gallons of nitroglycerin across dangerous Latin American jungle.
Detachment,A substitute teacher who drifts from classroom to classroom finds a connection to the students and teachers during his latest assignment.
Happiness,"The lives of several individuals intertwine as they go about their lives in their own unique ways, engaging in acts which society as a whole might find disturbing in a desperate search for human connection."
Paprika,"When a machine that allows therapists to enter their patients' dreams is stolen, all hell breaks loose. Only a young female therapist, Paprika, can stop it."
A Man for All Seasons,"The story of Sir Thomas More, who stood up to King Henry VIII when the King rejected the Roman Catholic Church to obtain a divorce and remarry."
Roma,A year in the life of a middle-class family's maid in Mexico City in the early 1970s.
The Great Beauty,"Jep Gambardella has seduced his way through the lavish nightlife of Rome for decades, but after his 65th birthday and a shock from the past, Jep looks past the nightclubs and parties to find a timeless landscape of absurd, exquisite beauty."
A Man Called Ove,"Ove, an ill-tempered, isolated retiree who spends his days enforcing block association rules and visiting his wife's grave, has finally given up on life just as an unlikely friendship develops with his boisterous new neighbors."
The Quiet Man,"A retired American boxer returns to the village of his birth in 1920s Ireland, where he falls for a spirited redhead whose brother is contemptuous of their union."
The Longest Day,"The events of D-Day, told on a grand scale from both the Allied and German points of view."
Kubo and the Two Strings,A young boy named Kubo must locate a magical suit of armour worn by his late father in order to defeat a vengeful spirit from the past.
Badlands,"An impressionable teenage girl from a dead-end town, and her older greaser boyfriend, embark on a killing spree in the South Dakota Badlands."
Fantasia,"A series of eight famous pieces of classical music, conducted by Leopold Stokowski and interpreted in animation by Walt Disney's team of artists."
Hard Boiled,A tough-as-nails cop teams up with an undercover agent to shut down a sinister mobster and his crew.
My Dinner with Andre,"Two old friends meet for dinner; as one tells anecdotes detailing his experiences, the other notices their differing worldviews."
Ray,"The story of the life and career of the legendary rhythm and blues musician Ray Charles, from his humble beginnings in the South, where he went blind at age seven, to his meteoric rise to stardom during the 1950s and 1960s."
Perfect Strangers,"Seven long-time friends meet for dinner. They decide to share their text messages, emails and phone calls. Secrets are unveiled. Harmony trembles."
Hamlet,"Hamlet, Prince of Denmark, returns home to find his father murdered and his mother remarrying the murderer, his uncle. Meanwhile, war is brewing."
Mother,A mother desperately searches for the killer who framed her son for a girl's horrific murder.
"South Park: Bigger, Longer & Uncut","When Stan Marsh and his friends go see an R-rated movie, they start cursing and their parents think that Canada is to blame."
Finding Neverland,The story of Sir J.M. Barrie's friendship with a family who inspired him to create Peter Pan.
Night on Earth,An anthology of 5 different cab drivers in 5 American and European cities and their remarkable fares on the same eventful night.
Black Book,"In the Nazi-occupied Netherlands during World War II, a Jewish singer infiltrates the regional Gestapo headquarters for the Dutch resistance."
Breathless,"A small-time crook, hunted by the authorities for a car theft and the murder of a police officer, attempts to persuade a hip American journalism student to run away with him to Italy."
The Man from Nowhere,A quiet pawnshop keeper with a violent past takes on a drug-and-organ trafficking ring in hope of saving the child who is his only friend.
The Day the Earth Stood Still,"An alien lands in Washington, D.C. and tells the people of Earth that they must live peacefully or be destroyed as a danger to other planets."
Invasion of the Body Snatchers,A small-town doctor learns that the population of his community is being replaced by emotionless alien duplicates.
Porco Rosso,"In 1930s Italy, a veteran World War I pilot is cursed to look like an anthropomorphic pig."
Cape Fear,A lawyer's family is stalked by a man he once helped put in jail.
The Verdict,"An outcast, alcoholic Boston lawyer sees the chance to salvage his career and self-respect by taking a medical malpractice case to trial rather than settling."
Confessions,"Yuko, a teacher of middle-school, is shattered to see her four-year-old daughter dead. She returns back to the school and finds out that her students are responsible for her daughter's murder."
The African Queen,"In WWI East Africa, a gin-swilling Canadian riverboat captain is persuaded by a strait-laced English missionary to undertake a trip up a treacherous river and use his boat to attack a German gunship."
Nebraska,"An aging, booze-addled father makes the trip from Montana to Nebraska with his estranged son in order to claim a million-dollar Mega Sweepstakes Marketing prize."
Waking Life,A man shuffles through a dream meeting various people and discussing the meanings and purposes of the universe.
Open Your Eyes,"A very handsome man finds the love of his life, but he suffers an accident and needs to have his face rebuilt by surgery after it is severely disfigured."
The Lady Vanishes,"While travelling in continental Europe, a rich young playgirl realizes that an elderly lady seems to have disappeared from the train."
Fantastic Planet,"On a faraway planet where blue giants rule, oppressed humanoids rebel against their machine-like leaders."
Black Narcissus,"A group of nuns struggle to establish a convent in the Himalayas, while isolation, extreme weather, altitude, and culture clashes all conspire to drive the well-intentioned missionaries mad."
Beasts of No Nation,"A drama based on the experiences of Agu, a child soldier fighting in the civil war of an unnamed African country."
Scarface,"An ambitious and nearly insane violent gangster climbs the ladder of success in the mob, but his weaknesses prove to be his downfall."
Good Bye Lenin!,"In 1990, to protect his fragile mother from a fatal shock after a long coma, a young man must keep her from learning that her beloved nation of East Germany as she knew it has disappeared."
Wait Until Dark,A recently blinded woman is terrorized by a trio of thugs while they search for a heroin-stuffed doll they believe is in her apartment.
The Double Life of Véronique,"Two parallel stories about two identical women; one living in Poland, the other in France. They don't know each other, but their lives are nevertheless profoundly connected."
Never Look Away,"German artist Kurt Barnert has escaped East Germany and now lives in West Germany, but is tormented by his childhood under the Nazis and the GDR-regime."
The Innocents,A young governess for two children becomes convinced that the house and grounds are haunted.
The Motorcycle Diaries,"Ernesto Guevara de la Serna, popularly known as Che, along with his friend Alberto Granado, decides to take a road trip across South America. His experiences on the journey transform him."
Down by Law,"Two men are framed and sent to jail, where they meet a murderer who helps them escape and leave the state."
Taste of Cherry,An Iranian man drives his car in search of someone who will quietly bury him under a cherry tree after he commits suicide.
Dreams,A collection of tales based upon eight of director Akira Kurosawa's recurring dreams.
Evil,"A teenage boy expelled from school for fighting arrives at a boarding school where the systematic bullying of younger students is encouraged as a means to maintain discipline, and decides to fight back."
L'Avventura,"A woman disappears during a Mediterranean boating trip. During the search, her lover and her best friend become attracted to each other."
My Darling Clementine,"After their cattle are stolen and their brother murdered, the Earp brothers have a score to settle with the Clanton family."
Hedwig and the Angry Inch,A gender-queer punk-rock singer from East Berlin tours the U.S. with her band as she tells her life story and follows the former lover/band-mate who stole her songs.
The Salesman,"While Ranaa and Emad, a married couple, are participating in a production of ""Death of a Salesman,"" she is assaulted in their new home, which leaves him determined to find the perpetrator over his wife's traumatized objections."
Joint Security Area,"After a shooting incident at the North-South Korean border DMZ leaves two North Korean soldiers dead, a neutral Swiss and Swedish team investigates what actually happened."
Frost/Nixon,A dramatic retelling of the post-Watergate television interviews between British talk-show host David Frost and former president Richard Nixon.
Key Largo,"A man visits his war buddy's family hotel and finds a gangster running things. As a hurricane approaches, the two end up confronting each other."
After the Wedding,"A manager of an orphanage in India is sent to Copenhagen, Denmark, where he discovers a life-altering family secret."
The Broken Circle Breakdown,"Elise and Didier fall in love at first sight, in spite of their differences. He talks, she listens. He's a romantic atheist, she's a religious realist. When their daughter becomes seriously ill, their love is put on trial."
The Experiment,"For two weeks, 20 male participants are hired to play prisoners and guards in a prison. The ""prisoners"" have to follow seemingly mild rules, and the ""guards"" are told to retain order without using physical violence."
The Triplets of Belleville,"When her grandson is kidnapped during the Tour de France, Madame Souza and her beloved pooch Bruno team up with the Belleville Sisters--an aged song-and-dance team from the days of Fred Astaire--to rescue him."
The Magdalene Sisters,Three young Irish women struggle to maintain their spirits while they endure dehumanizing abuse as inmates of a Magdalene Sisters Asylum.
In America,A family of Irish immigrants adjust to life on the mean streets of Hell's Kitchen while also grieving the death of a child.
How Green Was My Valley,"At the turn of the century in a Welsh mining village, the Morgans, he stern, she gentle, raise coal-mining sons and hope their youngest will find a better life."
The Breadwinner,"In 2001, Afghanistan is under the control of the Taliban. When her father is captured, a determined young girl disguises herself as a boy in order to provide for her family."
The Girl Who Leapt Through Time,"A high-school girl named Makoto acquires the power to travel back in time, and decides to use it for her own personal benefits. Little does she know that she is affecting the lives of others just as much as she is her own."
The Purple Rose of Cairo,"In 1935 New Jersey, a movie character walks off the screen and into the real world."
Adam's Apples,A neo-Nazi sentenced to community service at a church clashes with the blindly devoted minister.
Jules and Jim,Decades of a love triangle concerning two friends and an impulsive woman.
Duck Soup,"Rufus T. Firefly is named the dictator of bankrupt Freedonia and declares war on neighboring Sylvania over the love of his wealthy backer Mrs. Teasdale, contending with two inept spies who can't seem to keep straight which side they're on."
The Past,"An Iranian man deserts his French wife and her two children to return to his homeland. Meanwhile, his wife starts up a new relationship, a reality her husband confronts upon his wife's request for a divorce."
The Edge of Heaven,A Turkish man travels to Istanbul to find the daughter of his father's former girlfriend.
Fireworks,"Nishi leaves the police in the face of harrowing personal and professional difficulties. Spiraling into depression, he makes questionable decisions."
Zelig,"""Documentary"" about a man who can look and act like whoever he's around, and meets various famous people."
Vicky Donor,"A man is brought in by an infertility doctor to supply him with his sperm, where he becomes the biggest sperm donor for his clinic."
Deadpool 2,"Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool) assembles a team of fellow mutant rogues to protect a young boy with abilities from the brutal, time-traveling cyborg Cable."
Harry Potter and the Sorcerer's Stone,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world."
Once Upon a Time... in Hollywood,"As Hollywood's Golden Age is winding down during the summer of 1969, television actor Rick Dalton and his stunt double Cliff Booth endeavor to achieve lasting success in Hollywood while meeting several colorful characters along the way."
The Fifth Element,"In the colorful future, a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep Evil and Mr. Zorg at bay."
Watchmen,"In a version of 1985 where superheroes exist, the murder of a colleague sends active vigilante Rorschach on the trail of a conspiracy that will change the course of history."
The Whale,"A reclusive, morbidly obese English teacher attempts to reconnect with his estranged teenage daughter."
Aftersun,Sophie reflects on the shared joy and private melancholy of a holiday she took with her father twenty years earlier. Memories real and imagined fill the gaps between as she tries to reconcile the father she knew with the man she didn't...
Dark Waters,A corporate defense attorney takes on an environmental lawsuit against a chemical company that exposes a lengthy history of pollution.
Office Space,Three company workers who hate their jobs decide to rebel against their greedy boss.
300,"In the ancient battle of Thermopylae, King Leonidas and 300 Spartans fight against Xerxes and his massive Persian army."
My Cousin Vinny,"Two New Yorkers accused of murder in rural Alabama while on their way back to college call in the help of one of their cousins, a loudmouth lawyer with no trial experience."
Stardust,"In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm."
Hell or High Water,"Toby is a divorced father who's trying to make a better life. His brother is an ex-con with a short temper and a loose trigger finger. Together, they plan a series of heists against the bank that's about to foreclose on their family ranch."
The Butterfly Effect,"Evan Treborn suffers blackouts during significant events of his life. As he grows up, he finds a way to remember these lost memories and a supernatural way to alter his life by reading his journal."
Saw,"Two men awaken to find themselves on the opposite sides of a dead body, each with specific instructions to kill the other or face consequences. These two are the latest victims of the Jigsaw Killer."
RoboCop,"In a dystopic and crime-ridden Detroit, a terminally wounded cop returns to the force as a powerful cyborg haunted by submerged memories."
The Others,"In 1945, immediately following the end of Second World War, a woman who lives with her two photosensitive children on her darkened old family estate in the Channel Islands becomes convinced that the home is haunted."
Star Wars: Episode III - Revenge of the Sith,"Three years into the Clone Wars, Obi-Wan Kenobi pursues a new threat, while Anakin Skywalker is lured by Chancellor Palpatine into a sinister plot to rule the galaxy."
Minority Report,"John works with the PreCrime police which stop crimes before they take place, with the help of three 'PreCogs' who can foresee crimes. Events ensue when John finds himself framed for a future murder."
End of Watch,"Shot documentary-style, this film follows the daily grind of two young police officers in LA who are partners and friends and what happens when they meet criminal forces greater than themselves."
The Last of the Mohicans,Three trappers protect the daughters of a British Colonel in the midst of the French and Indian War.
True Grit,A stubborn teenager enlists the help of a tough U.S. Marshal to track down her father's murderer.
3:10 to Yuma,A small-time rancher agrees to hold a captured outlaw who's awaiting a train to go to court in Yuma. A battle of wills ensues as the outlaw tries to psych out the rancher.
Kung Fu Panda,"To everyone's surprise, including his own, Po, an overweight, clumsy panda, is chosen as protector of the Valley of Peace. His suitability will soon be tested as the valley's arch-enemy is on his way."
The Thin Red Line,"Adaptation of James Jones' autobiographical 1962 novel, focusing on the conflict at Guadalcanal during the second World War."
Gone Baby Gone,"Two Boston area detectives investigate a little girl's kidnapping, which ultimately turns into a crisis both professionally and personally."
Moneyball,Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.
The Machinist,An industrial worker who hasn't slept in a year begins to doubt his own sanity.
The Blind Side,"The story of Michael Oher, a homeless and traumatized boy who became an All-American football player and first-round NFL draft pick with the help of a caring woman and her family."
Midnight in Paris,"While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s every day at midnight."
What We Do in the Shadows,"Viago, Deacon, and Vladislav are vampires who are struggling with the mundane aspects of modern life, like paying rent, keeping up with the chore wheel, trying to get into nightclubs, and overcoming flatmate conflicts."
After Hours,"Ordinary word processor Paul Hackett experiences the worst night of his life after he agrees to visit Marcy, a Soho resident that he met that evening at a coffee shop."
The Boondock Saints,Two Irish Catholic brothers become vigilantes and wipe out Boston's criminal underworld in the name of God.
The Birds,A wealthy San Francisco socialite pursues a potential boyfriend to a small Northern California town that slowly takes a turn for the bizarre when birds of all kinds suddenly begin to attack people.
The Raid: Redemption,A S.W.A.T. team becomes trapped in a tenement run by a ruthless mobster and his army of killers and thugs.
I Am Sam,An intellectually disabled man fights for custody of his 7-year-old daughter and in the process teaches his cold-hearted lawyer the value of love and family.
The Mitchells vs. the Machines,"A quirky, dysfunctional family's road trip is upended when they find themselves in the middle of the robot apocalypse and suddenly become humanity's unlikeliest last hope."
Ponyo,"A five-year-old boy develops a relationship with Ponyo, a young goldfish princess who longs to become a human after falling in love with him."
Rebel Without a Cause,"A rebellious young man with a troubled past comes to a new town, finding friends and enemies."
Rushmore,"A teenager at Rushmore Academy falls for a much older teacher and befriends a middle-aged industrialist. Later, he finds out that his love interest and his friend are having an affair, which prompts him to begin a vendetta."
Belle de Jour,A frigid young housewife decides to spend her midweek afternoons as a prostitute.
The Bridges of Madison County,Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.
The Last King of Scotland,Based on the events of the brutal Ugandan dictator Idi Amin's regime as seen by his personal physician during the 1970s.
50/50,"Inspired by a true story, a comedy centered on a 27-year-old guy who learns of his cancer diagnosis and his subsequent struggle to beat the disease."
21 Grams,"A freak accident brings together a critically ill mathematician, a grieving mother, and a born-again ex-con."
Run Lola Run,"After a botched money delivery, Lola has 20 minutes to come up with 100,000 Deutschmarks."
Short Cuts,The day-to-day lives of several suburban Los Angeles residents.
Barton Fink,A renowned New York playwright is enticed to California to write for the movies and discovers the hellish truth of Hollywood.
Control,"A profile of Ian Curtis, the enigmatic singer of Joy Division whose personal, professional, and romantic troubles led him to die by suicide at the age of 23."
The Little Prince,"A little girl lives in a very grown-up world with her mother, who tries to prepare her for it. Her neighbor, the Aviator, introduces the girl to an extraordinary world where anything is possible, the world of the Little Prince."
Philomena,"A world-weary political journalist picks up the story of a woman's search for her son, who was taken away from her decades ago after she became pregnant and was forced to live in a convent."
